company,rank,rank_change,revenue,revenue_change,profit,profit_change,assets,employees,industry,sector,country,city,state,newcomer,ceo_founder,ceo_woman,profitable,years_on_global_500_list,previous_rank,prev_rank,CEO,Website,Ticker,Market_Cap
CITIC Group,115,11.0,74689.2,-0.6,3842.5,5.4,1265205.7,148283,Diversified Financials,Financials,China,Beijing,,no,,no,yes,13,126.0,,Zhu Hexin,https://www.group.citic,,
Nissan Motor,116,-33.0,74169.5,-18.4,-4232.7,,148752.9,139507,Motor Vehicles & Parts,Motor Vehicles & Parts,Japan,Yokohama,,no,,no,no,27,83.0,,Makoto Uchida,https://www.nissan-global.com,NSANY,21259
Munich Re Group,117,18.0,74074.5,2.1,1379.9,-54.7,364626.3,39642,Insurance: Property and Casualty (Stock),Financials,Germany,Munich,,no,,no,yes,27,135.0,,Joachim Wenning,https://www.munichre.com,MURGY,37459
Enel,118,-31.0,74047.1,-17.6,2974.0,22.2,200033.8,66717,Utilities,Energy,Italy,Rome,,no,,no,yes,27,87.0,,Francesco Starace,https://www.enel.com,ENLAY,95158
Dai-ichi Life Holdings,119,46.0,73841.5,12.8,3431.6,1050.3,574988.3,64823,"Insurance: Life, Health (stock)",Financials,Japan,Tokyo,,no,,no,yes,27,165.0,,Seiji Inagaki,https://www.dai-ichi-life-hd.com,DCNSF,19650
Banco Santander,120,-27.0,73630.1,-16.6,-9994.1,-237.1,1845796.4,184720,Banks: Commercial and Savings,Financials,Spain,Madrid,,no,,no,no,27,93.0,,José Antonio Álvarez,https://www.santander.com,SAN,62795
IBM,121,-3.0,73620.0,-4.6,5590.0,-40.7,155971,364800,Information Technology Services,Technology,U.S.,Armonk,New York City,no,,no,yes,27,118.0,,Arvind Krishna,https://www.ibm.com,IBM,116001
China Evergrande Group,122,30.0,73514.0,6.3,1170.4,-53.2,352668,123276,Real estate,Financials,China,Shenzhen,,no,,no,yes,6,152.0,,Hui Ka Yan,https://www.evergrande.com,EGRNF,13315
U.S. Postal Service,123,18.0,73133.0,2.8,-9176.0,,35904,569987,"Mail, Package, and Freight Delivery",Transportation,U.S.,Washington,District Of Columbia,no,,no,no,27,141.0,,Louis DeJoy,https://www.usps.com,,
Beijing Automotive Group,124,10.0,72147.3,-0.6,339.8,-54.5,81894.4,110000,Motor Vehicles & Parts,Motor Vehicles & Parts,China,Beijing,,no,,no,yes,9,134.0,,Jiang Deyi,https://www.baicgroup.com.cn,,
Lukoil,125,-68.0,71856.2,-37.3,209.9,-97.9,81060.5,100769,Petroleum Refining,Energy,Russia,Moscow,,no,,no,yes,22,57.0,,Vagit Alekperov,https://www.lukoil.com,LUKOY,60454
China Telecommunications,126,32.0,71400.9,6,1886.1,4.6,139128.5,400945,Telecommunications,Telecommunications,China,Beijing,,no,,no,yes,22,158.0,,Ke Ruiwen,https://www.chinatelecom.com.cn,,
China North Industries Group,127,27.0,71017.5,3.4,1510.9,17.7,67419.7,212960,Aerospace & Defense,Aerospace & Defense,China,Beijing,,no,,no,yes,12,154.0,,Jiao Kaihe,https://www.norincogroup.com.cn,,
Procter & Gamble,128,28.0,70950.0,4.8,13027.0,234.3,120700,99000,Household and Personal Products,Household Products,U.S.,Cincinnati,Ohio,no,,no,yes,27,156.0,,Jon R. Moeller,https://www.pginvestor.com,PG,389811
SK,129,-32.0,70839.2,-17.8,160.5,-73.9,126632.7,114842,Petroleum Refining,Energy,South Korea,Seoul,,no,,no,yes,6,97.0,,Tae-Won Chey/Dong-Hyun Jang,https://www.sk.co.kr,,16970
E.ON,130,125.0,70381.5,50.2,1158.8,-33.9,116732.2,78126,Energy,Energy,Germany,Essen,,no,,no,yes,27,255.0,,Leonhard Birnbaum,https://www.eon.com,EONGY,31915
PepsiCo,131,29.0,70372.0,4.8,7120.0,-2.7,92918,291000,Food Consumer Products,"Food, Beverages & Tobacco",U.S.,Purchase,New York City,no,,no,yes,27,160.0,,Ramon L. Laguarta,https://www.pepsico.com,PEP,240886
Tencent Holdings,132,65.0,69864.2,27.9,23166.2,71.5,204356.3,85858,Internet Services and Retailing,Technology,China,Shenzhen,,no,,no,yes,5,197.0,,Pony Ma,https://www.tencent.com,TCEHY,585996
Albertsons,133,41.0,69690.4,11.6,850.2,82.3,26598,300000,Food & Drug Stores,Food & Drug Stores,U.S.,Boise,Idaho,no,,no,yes,17,174.0,,Vivek Sankaran,https://www.albertsonscompanies.com,ACI,9410
BASF,134,9.0,69464.3,-1.8,-1207.8,-112.8,98261.3,110302,Chemicals,Chemicals,Germany,Ludwigshafen,,no,,no,no,27,143.0,,Martin Brudermüller,https://www.basf.com,BASFY,68279
